billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","A4641","HCPCS","[]"
"professional","L4370","HCPCS","['NU']"
"professional","87804","CPT","['26']"
"institutional","49905","CPT","[]"
"professional","33684","CPT","[]"
"professional","S8270","HCPCS","[]"
"professional","L3570","HCPCS","[]"
"professional","0115U","CPT","[]"
"professional","43331","CPT","['U1']"
"professional","48105","CPT","['U1']"
"professional","50240","CPT","['U1']"
"professional","E0610","HCPCS","['26']"
"professional","90836","CPT","['G0']"
"professional","J2804","HCPCS","[]"
"professional","G0400","HCPCS","[]"
"professional","E2310","HCPCS","[]"
"professional","A4619","HCPCS","[]"
"professional","44346","CPT","[]"
"professional","A9582","HCPCS","[]"
"professional","36405","CPT","['U1']"
"professional","94010","CPT","['26']"
"professional","A4670","HCPCS","['NU']"
"professional","26010","CPT","['U1']"
"professional","15274","CPT","[]"
"professional","25574","CPT","['U1']"
"institutional","36215","CPT","[]"
"institutional","C7555","HCPCS","[]"
"institutional","61321","CPT","[]"
"professional","J2010","HCPCS","[]"
"professional","99214","CPT","['TF']"
"professional","L6686","HCPCS","['UE']"
"professional","20526","CPT","[]"
"professional","31367","CPT","[]"
"professional","62161","CPT","['U1']"
"institutional","36510","CPT","[]"
"professional","72128","CPT","['TC']"
"professional","0037U","CPT","[]"
"institutional","56800","CPT","[]"
"professional","E0944","HCPCS","['UE']"
"professional","35566","CPT","['50']"
"professional","94452","CPT","['U1']"
"professional","34848","CPT","[]"
"professional","97158","CPT","['HP']"
"professional","74177","CPT","[]"
"professional","K0069","HCPCS","['NU']"
"professional","44137","CPT","[]"
"professional","97162","CPT","['GQ']"
"professional","Q0503","HCPCS","[]"
"professional","E2381","HCPCS","['RR','NU','KE']"
"professional","J0491","HCPCS","[]"
"professional","86001","CPT","[]"
"professional","S4021","HCPCS","[]"
"professional","G9128","HCPCS","[]"
"professional","G0123","HCPCS","['26']"
"professional","E1822","HCPCS","[]"
"professional","K0038","HCPCS","['UE','RR','KE']"
"professional","E0791","HCPCS","[]"
"professional","82747","CPT","['U1']"
"institutional","63308","CPT","[]"
"professional","15005","CPT","[]"
"professional","G0235","HCPCS","[]"
"professional","G6007","HCPCS","[]"
"professional","K0607","HCPCS","['UE']"
"professional","13152","CPT","['U1']"
"professional","K0842","HCPCS","['NU']"
"professional","A4860","HCPCS","[]"
"professional","93897","CPT","['TC']"
"professional","61108","CPT","[]"
"institutional","26705","CPT","[]"
"professional","96920","CPT","[]"
"professional","L5613","HCPCS","['NU']"
"professional","57023","CPT","['U1']"
"professional","86945","CPT","['27']"
"institutional","0694","MS-DRG","[]"
"professional","V2715","HCPCS","['NU']"
"professional","E1036","HCPCS","[]"
"professional","64856","CPT","[]"
"professional","57295","CPT","[]"
"professional","82533","CPT","[]"
"professional","G0425","HCPCS","['GQ']"
"professional","45317","CPT","[]"
"professional","E2604","HCPCS","['UE','NU','KE']"
