billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,A4641,HCPCS,[],ALLOW,ok,
professional,L4370,HCPCS,['NU'],ALLOW,ok,
professional,87804,CPT,['26'],ALLOW,ok,
institutional,49905,CPT,[],ALLOW,ok,
professional,33684,CPT,[],ALLOW,ok,
professional,S8270,HCPCS,[],ALLOW,ok,
professional,L3570,HCPCS,[],ALLOW,ok,
professional,0115U,CPT,[],ALLOW,ok,
professional,43331,CPT,['U1'],ALLOW,ok,
professional,48105,CPT,['U1'],ALLOW,ok,
professional,50240,CPT,['U1'],ALLOW,ok,
professional,E0610,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,90836,CPT,['G0'],ALLOW,ok,
professional,J2804,HCPCS,[],ALLOW,ok,
professional,G0400,HCPCS,[],ALLOW,ok,
professional,E2310,HCPCS,[],ALLOW,ok,
professional,A4619,HCPCS,[],ALLOW,ok,
professional,44346,CPT,[],ALLOW,ok,
professional,A9582,HCPCS,[],ALLOW,ok,
professional,36405,CPT,['U1'],ALLOW,ok,
professional,94010,CPT,['26'],ALLOW,ok,
professional,A4670,HCPCS,['NU'],ALLOW,ok,
professional,26010,CPT,['U1'],ALLOW,ok,
professional,15274,CPT,[],ALLOW,ok,
professional,25574,CPT,['U1'],ALLOW,ok,
institutional,36215,CPT,[],ALLOW,ok,
institutional,C7555,HCPCS,[],ALLOW,ok,
institutional,61321,CPT,[],ALLOW,ok,
professional,J2010,HCPCS,[],ALLOW,ok,
professional,99214,CPT,['TF'],ALLOW,ok,
professional,L6686,HCPCS,['UE'],ALLOW,ok,
professional,20526,CPT,[],ALLOW,ok,
professional,31367,CPT,[],ALLOW,ok,
professional,62161,CPT,['U1'],ALLOW,ok,
institutional,36510,CPT,[],ALLOW,ok,
professional,72128,CPT,['TC'],ALLOW,ok,
professional,0037U,CPT,[],ALLOW,ok,
institutional,56800,CPT,[],ALLOW,ok,
professional,E0944,HCPCS,['UE'],ALLOW,ok,
professional,35566,CPT,['50'],ALLOW,ok,
professional,94452,CPT,['U1'],ALLOW,ok,
professional,34848,CPT,[],ALLOW,ok,
professional,97158,CPT,['HP'],ALLOW,ok,
professional,74177,CPT,[],ALLOW,ok,
professional,K0069,HCPCS,['NU'],ALLOW,ok,
professional,44137,CPT,[],ALLOW,ok,
professional,97162,CPT,['GQ'],ALLOW,ok,
professional,Q0503,HCPCS,[],ALLOW,ok,
professional,E2381,HCPCS,"['RR','NU','KE']",ALLOW,ok,
professional,J0491,HCPCS,[],ALLOW,ok,
professional,86001,CPT,[],ALLOW,ok,
professional,S4021,HCPCS,[],ALLOW,ok,
professional,G9128,HCPCS,[],ALLOW,ok,
professional,G0123,HCPCS,['26'],ALLOW,ok,
professional,E1822,HCPCS,[],ALLOW,ok,
professional,K0038,HCPCS,"['UE','RR','KE']",ALLOW,ok,
professional,E0791,HCPCS,[],ALLOW,ok,
professional,82747,CPT,['U1'],ALLOW,ok,
institutional,63308,CPT,[],ALLOW,ok,
professional,15005,CPT,[],ALLOW,ok,
professional,G0235,HCPCS,[],ALLOW,ok,
professional,G6007,HCPCS,[],ALLOW,ok,
professional,K0607,HCPCS,['UE'],ALLOW,ok,
professional,13152,CPT,['U1'],ALLOW,ok,
professional,K0842,HCPCS,['NU'],ALLOW,ok,
professional,A4860,HCPCS,[],ALLOW,ok,
professional,93897,CPT,['TC'],ALLOW,ok,
professional,61108,CPT,[],ALLOW,ok,
institutional,26705,CPT,[],ALLOW,ok,
professional,96920,CPT,[],ALLOW,ok,
professional,L5613,HCPCS,['NU'],ALLOW,ok,
professional,57023,CPT,['U1'],ALLOW,ok,
professional,86945,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
institutional,0694,MS-DRG,[],ALLOW,ok,
professional,V2715,HCPCS,['NU'],ALLOW,ok,
professional,E1036,HCPCS,[],ALLOW,ok,
professional,64856,CPT,[],ALLOW,ok,
professional,57295,CPT,[],ALLOW,ok,
professional,82533,CPT,[],ALLOW,ok,
professional,G0425,HCPCS,['GQ'],ALLOW,ok,
professional,45317,CPT,[],ALLOW,ok,
professional,E2604,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,A4267,HCPCS,[],ALLOW,ok,
professional,92227,CPT,['U1'],ALLOW,ok,
professional,K0052,HCPCS,['NU'],ALLOW,ok,
professional,0322U,CPT,[],ALLOW,ok,
professional,G0328,HCPCS,['TC'],ALLOW,ok,
professional,85013,CPT,['26'],ALLOW,ok,
professional,21248,CPT,['U1'],ALLOW,ok,
professional,99215,CPT,['G0'],ALLOW,ok,
institutional,50130,CPT,[],ALLOW,ok,
professional,77605,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,J1931,HCPCS,[],ALLOW,ok,
institutional,0D19479,ICD,[],ALLOW,ok,
professional,80432,CPT,[],ALLOW,ok,
professional,70548,CPT,['U1'],ALLOW,ok,
institutional,0920T,CPT,[],ALLOW,ok,
professional,86155,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,84132,CPT,['U1'],ALLOW,ok,
institutional,93456,CPT,[],ALLOW,ok,
professional,B9006,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,L6677,HCPCS,[],ALLOW,ok,
professional,J3391,HCPCS,[],ALLOW,ok,
professional,63305,CPT,[],ALLOW,ok,
professional,42844,CPT,[],ALLOW,ok,
professional,93306,CPT,['26'],ALLOW,ok,
professional,93724,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,K0879,HCPCS,['NU'],ALLOW,ok,
professional,57156,CPT,['U1'],ALLOW,ok,
professional,93790,CPT,[],ALLOW,ok,
professional,84100,CPT,[],ALLOW,ok,
professional,H0046,HCPCS,"['HO','U1']",ALLOW,ok,
professional,49440,CPT,[],ALLOW,ok,
professional,27248,CPT,[],ALLOW,ok,
professional,47543,CPT,['U1'],ALLOW,ok,
professional,21299,CPT,[],ALLOW,ok,
professional,52332,CPT,['U1'],ALLOW,ok,
professional,49900,CPT,[],ALLOW,ok,
professional,00794,CPT,[],ALLOW,ok,
professional,L5628,HCPCS,['NU'],ALLOW,ok,
institutional,0487,MS-DRG,[],ALLOW,ok,
professional,E1225,HCPCS,[],ALLOW,ok,
institutional,42330,CPT,[],ALLOW,ok,
institutional,42409,CPT,[],ALLOW,ok,
professional,33017,CPT,[],ALLOW,ok,
professional,21195,CPT,[],ALLOW,ok,
professional,0200U,CPT,[],ALLOW,ok,
professional,S8185,HCPCS,['NU'],ALLOW,ok,
professional,40720,CPT,['U1'],ALLOW,ok,
professional,A4452,HCPCS,[],ALLOW,ok,
professional,95870,CPT,[],ALLOW,ok,
professional,E0765,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,L3763,HCPCS,[],ALLOW,ok,
professional,81463,CPT,[],ALLOW,ok,
professional,67906,CPT,[],ALLOW,ok,
